Side,Stand,Trap,X,Y,FirstYearData,2009,2010,2011,2012,2013,2014,2015,2016,2017
E,AB08,1,38.8,57.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,2,45.2,58.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,3,48.7,60.2,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,4,51.8,58.9,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,5,58.5,57.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AB08,6,62.6,58.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,1,33.3,60.4,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,2,39.4,59.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,3,43.9,61.2,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,4,49.7,62.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,5,53.9,62.3,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AO03,6,57.9,62.8,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,1,41.4,61.7,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,2,44.3,62,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,3,53.4,63.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,4,56.7,62.5,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,5,63.4,64.1,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
E,AV02,6,67.2,61.6,2010,NA,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125,0.17008125
